日期(年),單位,再生能源發電量合計,慣常水力,地熱,太陽光電,風力_小計,風力_陸域,風力_離岸,生質能_小計,生質能_固態,生質能_氣態,廢棄物
2002,千度,5582829,2778901,0,348,15880,15880,0,410970,298373,112597,2376730
2003,千度,6209739,3034516,0,461,23762,23762,0,394254,297092,97162,2756746
2004,千度,6584988,3209869,0,584,25253,25253,0,348524,279081,69442,3000758
2005,千度,7540945,4071374,0,960,91300,91300,0,323478,262376,61102,3053833
2006,千度,7743848,4088351,0,1457,276075,276075,0,321292,266849,54443,3056674
2007,千度,8324812,4417550,0,2180,439535,439535,0,302267,246865,55402,3163280
2008,千度,8259060,4305105,0,4473,588265,588265,0,272489,226997,45491,3088727
2009,千度,7809525,3748288,0,9113,786635,786635,0,229350,187521,41829,3036139
2010,千度,8639758,4194101,0,21727,1026338,1026338,0,270038,234679,35359,3127554
2011,千度,8987061,3999726,0,61623,1492677,1492677,0,236091,209739,26352,3196944
2012,千度,10662097,5669558,0,159870,1413468,1413468,0,241460,218577,22883,3177741
2013,千度,10855227,5422890,0,321096,1640008,1640008,0,225561,205350,20211,3245672
2014,千度,9922382,4317862,0,528762,1500484,1500484,0,249783,231913,17870,3325490
2015,千度,10476045,4470146,0,850268,1525236,1525236,0,246203,227420,18783,3384192
2016,千度,12730120,6562041,0,1109005,1457102,1457102,0,205421,185762,19659,3396552
2017,千度,12365425,5446815,0,1667453,1722459,1702077,20381,187698,169450,18248,3341001
2018,千度,12646608,4481584,1,2703658,1709487,1682777,26710,185280,166440,18840,3566597
2019,千度,15258373,5544796,757,4015948,1892232,1715855,176377,169780,151434,18346,3634861
2020,千度,15179072,3019152,1912,6074674,2308872,1792791,516081,204718,141366,63353,3569744
2021,千度,17511713,3474663,9074,7970191,2257478,1701480,555998,195794,153172,42622,3604514
2022,千度,23844899,5836503,25008,10676988,3543061,2082798,1460263,158212,118278,39933,3605128
